,1,2,3,4,5,6
Thfoofightr,https://open.spotify.com/playlist/11psVNvZW3at6uAC1Tqpcs,https://open.spotify.com/playlist/01pAQerNqcgxxYCdcxbSNH,https://open.spotify.com/playlist/4RmBqtTg4zzc8DsXwZpExi,https://open.spotify.com/playlist/7oMvmN39Db1FQm6kcAF9SP,https://open.spotify.com/playlist/17Sb5wK8W608coH1aDUtBh,https://open.spotify.com/playlist/4PU6pBwiXdrCxarjNVX2r7
solsticeenergy,https://open.spotify.com/playlist/0J4J4XuMOri0nR7ADR2ej5,https://open.spotify.com/playlist/1kSDIcc3v0dgR0YNQAoLmQ,https://open.spotify.com/playlist/2okWG0x4JiiH3rhkFXOMnT,https://open.spotify.com/playlist/3G7UQkHo3ZaXmRcMVOBU0R,https://open.spotify.com/playlist/1lGFRDc7aFnFQxdbKLiKiY,https://open.spotify.com/playlist/2X0qLnsg1lIHBxgZHhBhCb
